"old_nc_name","new_nc_name","nc_id","Month","Avg deployment"
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2021-01-01,2
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2021-02-01,3
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2021-03-01,6
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2021-04-01,5
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2021-05-01,9
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2021-06-01,14
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2021-07-01,9
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2021-08-01,8
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2021-09-01,9
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2021-10-01,9
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2021-11-01,9
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2021-12-01,5
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2020-01-01,11
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2020-02-01,12
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2020-03-01,9
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2020-04-01,1
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2020-05-01,1
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2020-06-01,2
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2020-07-01,6
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2020-08-01,9
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2020-09-01,7
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2020-10-01,6
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2020-11-01,2
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2020-12-01,3
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2019-01-01,1
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2019-02-01,1
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2019-03-01,1
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2019-04-01,11
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2019-05-01,10
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2019-06-01,12
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2019-07-01,19
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2019-08-01,24
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2019-09-01,13
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2019-10-01,16
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2019-11-01,11
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2019-12-01,8
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2022-01-01,40
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2022-02-01,52
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2022-03-01,54
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2022-04-01,62
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2022-05-01,71
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2022-06-01,72
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2022-07-01,70
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2022-08-01,54
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2022-09-01,68
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2022-10-01,NA
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2022-11-01,NA
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2022-12-01,NA
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2021-01-01,12
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2021-02-01,15
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2021-03-01,25
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2021-04-01,32
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2021-05-01,38
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2021-06-01,53
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2021-07-01,57
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2021-08-01,46
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2021-09-01,49
