"NC_ID","data_nc_name","cert_name","month_yr","avg_depl"
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2020-04-01,1
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2020-05-01,1
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2020-06-01,2
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2020-07-01,6
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2020-08-01,9
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2020-09-01,7
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2020-10-01,6
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2020-11-01,2
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2020-12-01,3
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2021-01-01,2
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2021-02-01,3
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2021-03-01,6
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2021-04-01,5
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2021-05-01,9
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2021-06-01,14
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2021-07-01,9
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2021-08-01,8
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2021-09-01,9
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2021-10-01,9
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2021-11-01,9
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2021-12-01,5
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2022-01-01,4
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2022-02-01,6
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2022-03-01,7
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2022-04-01,10
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2022-05-01,12
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2022-06-01,11
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2022-07-01,7
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2022-08-01,9
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2022-09-01,6
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2019-01-01,0
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2019-02-01,0
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2019-03-01,1
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2019-04-01,19
